±â¿Â,Èå¸²,ºñ¼Ò³ª±â´«,has_coffee,has_milk,caffeine,is_carbonated,is_hot,has_chocolate,is_syrup_based,is_tea_variant,sugar,has_fruit,is_powdered
0,0,0,0.7390202702702702,0.48395270270270274,0.8226351351351351,0.04645270270270271,0.5819256756756757,0.05827702702702703,0.28969594594594594,0.05405405405405406,0.597972972972973,0.15456081081081083,0.2525337837837837
0,0,1,0.7336956521739132,0.5289855072463767,0.8315217391304349,0.048913043478260865,0.6177536231884059,0.04528985507246377,0.29710144927536236,0.043478260869565216,0.6340579710144929,0.15760869565217386,0.26630434782608703
0,1,0,0.6940298507462687,0.5111940298507462,0.7761194029850745,0.06716417910447761,0.496268656716418,0.052238805970149245,0.3097014925373135,0.033582089552238806,0.6604477611940298,0.1902985074626866,0.3022388059701493
0,1,1,0.7536945812807883,0.44581280788177324,0.832512315270936,0.05172413793103448,0.6330049261083746,0.05418719211822659,0.270935960591133,0.046798029556650245,0.5517241379310344,0.1403940886699507,0.23891625615763548
1,0,0,0.6648964418481146,0.520446096654275,0.7349973446627721,0.07700477960701009,0.45087626128518316,0.03558151885289432,0.32926181625066386,0.05204460966542751,0.7004779607010091,0.2299522039298991,0.281465746149761
1,0,1,0.6338461538461541,0.46153846153846145,0.6861538461538466,0.15384615384615385,0.44,0.02461538461538462,0.3692307692307692,0.07384615384615385,0.698461538461539,0.27692307692307694,0.19692307692307698
1,1,0,0.6363636363636364,0.4666666666666666,0.7212121212121213,0.08181818181818182,0.509090909090909,0.048484848484848485,0.3121212121212122,0.06363636363636363,0.6515151515151517,0.21818181818181817,0.2848484848484849
1,1,1,0.6577266922094509,0.5351213282247765,0.7522349936143041,0.06130268199233717,0.4572158365261815,0.05491698595146871,0.3205619412515965,0.0574712643678161,0.6934865900383141,0.2158365261813538,0.2873563218390805
2,0,0,0.6058577405857742,0.5313807531380754,0.6769874476987451,0.10376569037656903,0.2577405857740586,0.03430962343096234,0.3648535564853557,0.04184100418410042,0.7531380753138079,0.29288702928870297,0.29707112970711297
2,0,1,0.5734072022160663,0.5817174515235454,0.6481994459833792,0.0886426592797784,0.221606648199446,0.024930747922437674,0.4542936288088642,0.044321329639889204,0.8060941828254845,0.32409972299168965,0.3518005540166204
2,1,0,0.6666666666666666,0.6163522012578616,0.7232704402515723,0.12578616352201258,0.3018867924528302,0.03773584905660378,0.36477987421383645,0.03144654088050315,0.7861635220125786,0.25157232704402516,0.18238993710691823
2,1,1,0.6290097629009763,0.5432357043235705,0.7119944211994422,0.09832635983263598,0.3165969316596931,0.043235704323570434,0.3521617852161786,0.05509065550906554,0.7468619246861925,0.25034867503486746,0.2907949790794979
3,0,0,0.5688705234159779,0.5674931129476584,0.6584022038567494,0.17355371900826444,0.15289256198347112,0.0440771349862259,0.43663911845730036,0.0371900826446281,0.8264462809917353,0.3209366391184573,0.27823691460055094
3,0,1,0.5608108108108107,0.5945945945945946,0.6452702702702703,0.15202702702702703,0.14864864864864863,0.057432432432432436,0.48310810810810817,0.04391891891891892,0.8378378378378379,0.3108108108108108,0.31756756756756765
3,1,0,0.5644820295983085,0.45665961945031724,0.6152219873150104,0.18604651162790697,0.23890063424947144,0.023255813953488372,0.3763213530655391,0.059196617336152224,0.7547568710359408,0.34038054968287523,0.23255813953488372
3,1,1,0.5941780821917808,0.5607876712328765,0.6746575342465752,0.1172945205479452,0.2208904109589041,0.03767123287671233,0.3655821917808218,0.05736301369863013,0.795376712328767,0.2825342465753425,0.27910958904109584
